"","Meaning","NineEnd","Age"
"1764",4,0,45
"1765",4,1,49
"1766",,0,60
"1767",,0,33
"1769",,0,46
"1770",4,0,35
"1771",4,0,50
"1772",,0,32
"1774",4,0,35
"1775",4,0,44
"1776",,0,42
"1777",2,0,56
"1778",2,0,32
"1779",4,0,41
"1780",2,0,36
"1781",2,0,32
"1782",2,0,57
"1785",2,0,37
"1786",2,1,39
"1787",4,0,62
"1789",,1,39
"1792",4,0,61
"1793",2,0,40
"1795",4,0,50
"1797",4,0,57
"1798",2,0,26
"1800",4,0,40
"1801",,0,30
"1802",,0,30
"1804",4,0,32
"1805",4,0,30
"1807",,0,53
"1809",4,0,63
"1810",2,0,38
"1812",,0,40
"1813",2,0,44
"1814",1,1,29
"1815",2,0,27
"1816",,0,26
"1817",,0,28
"1818",2,0,50
"1819",4,0,37
"1820",4,0,28
"1821",1,0,51
"1822",2,0,58
"1823",2,0,61
"1824",,0,41
"1826",,1,49
"1827",,1,49
"1828",4,0,55
"1829",,0,60
"1831",,0,30
"1832",,0,52
"1834",4,0,46
"1835",1,0,58
"1836",1,0,62
"1838",,0,26
"1840",,0,36
"1841",2,1,49
"1842",2,0,28
"1844",,0,36
"1846",,0,41
"1847",,1,29
"1848",2,0,50
"1849",2,0,54
"1850",,0,45
"1851",2,0,50
"1852",,0,48
"1853",,0,50
"1855",2,0,58
"1856",2,1,29
"1858",2,0,33
"1859",,0,33
"1860",4,0,30
"1863",,1,29
"1864",4,0,53
"1866",2,0,34
"1867",,0,30
"1869",2,0,51
"1870",,1,49
"1871",,1,39
"1872",4,0,31
"1873",4,0,26
"1874",4,0,61
"1875",,0,64
"1876",4,0,40
"1877",,0,56
"1879",1,0,50
"1880",2,1,39
"1881",2,0,53
"1882",2,1,39
"1883",,0,27
"1884",4,0,31
"1885",,0,36
"1886",,0,27
"1887",,0,38
"1888",,0,35
"1889",2,0,53
"1890",4,0,44
"1892",4,0,57
"1893",2,0,30
"1894",2,0,54
"1895",,0,32
"1897",,0,37
"1898",,0,41
"1899",,0,28
"1901",,0,28
"1902",2,0,45
"1904",2,0,32
"1905",4,0,32
"1907",,0,50
"1908",,0,34
"1909",,0,28
"1910",2,0,26
"1911",4,0,42
"1912",4,0,58
"1913",4,0,33
"1914",4,1,39
"1915",4,0,42
"1916",4,0,37
"1917",,0,30
"1918",4,0,33
"1920",2,0,33
"1921",,0,55
"1923",2,0,36
"1924",,0,40
"1925",4,0,54
"1926",,0,25
"1927",,0,45
"1930",2,0,30
"1931",2,0,28
"1932",4,0,28
"1933",4,0,30
"1934",2,0,33
"1935",2,0,28
"1938",,0,25
"1940",4,0,60
"1943",4,0,35
"1944",,0,43
"1946",4,0,45
"1947",4,0,44
"1948",,1,49
"1949",4,1,29
"1950",4,0,27
"1954",,0,25
"1955",4,0,44
